steroids	beta2-agonists	effect	corticosteroids , methylxanthines and diuretics : concomitant treatment with xanthine derivatives , steroids , or diuretics may potentiate a possible hypokalemic effect of beta2-agonists .
Anticoagulants	ardeparin	effect	anticoagulants including coumarin derivatives , indandione derivatives , and platelet aggregation inhibitors such as nonsteroidal anti inflammatory drugs ( nsaids ) , and aspirin may increase the risk of bleeding when administered concomitantly with ardeparin .
phenytoin	SULAR	mechanism	coadministration of phenytoin with dg mg sular tablets in epileptic patients lowered the nisoldipine plasma concentrations to undetectable levels .
enalapril	antihypertensive agents	effect	agents causing renin release : the antihypertensive effect of enalapril and enalapril iv is augmented by antihypertensive agents that cause renin release ( e.g. , diuretics ) .
nonsteroidal anti-inflammatory drugs	enalapril	effect	non steroidal anti inflammatory agents : in some patients with compromised renal function who are being treated with nonsteroidal anti-inflammatory drugs , the co administration of enalapril may result in a further deterioration of renal function .
Isocarboxazid	Antabuse	advise	isocarboxazid should be administered with caution to patients receiving antabuse ( disulfiram , wyeth ayerst laboratories ) .
STRATTERA	albuterol	advise	drug drug interactions albuterol strattera should be administered with caution to patients being treated with systemically administered ( oral or intravenous ) albuterol ( or other beta2 agonists ) because the action of albuterol on the cardiovascular system can be potentiated resulting in increases in heart rate and blood pressure .
norepinephrine	monoamine oxidase inhibitors	effect	the administration of local anesthetic solutions containing epinephrine or norepinephrine to patients receiving monoamine oxidase inhibitors , tricyclic antidepressants or phenothiazines may produce severe , prolonged hypotension or hypertension .
interleukin-2	radiographic iodinated contrast media	effect	delayed adverse reactions to iodinated contrast media : a review of the literature revealed that dg % ( range dg dg % ) of dg patients treated with various interleukin-2 containing regimens who were subsequently administered radiographic iodinated contrast media experienced acute , atypical adverse reactions .
FORADIL	tricyclic antidepressants	advise	monoamine oxidase inhibitors and tricyclic antidepressants : foradil should be administered with extreme caution in patients being treated with monoamine oxidase inhibitors or tricyclic antidepressants because the action of formoterol on the cardiovascular system may be potentiated by these agents .
Fenfluramine	methyldopa	effect	fenfluramine may increase slightly the effect of antihypertensive drugs , e.g. , guanethidine , methyldopa , reserpine .
Fenfluramine	reserpine	effect	fenfluramine may increase slightly the effect of antihypertensive drugs , e.g. , guanethidine , methyldopa , reserpine .
Quinidine	nisoldipine	mechanism	quinidine at dg mg bid decreased the bioavailability ( auc ) of nisoldipine by dg % , but not the peak concentration .
